,actives,decoys,cid
550,C1=C(C2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)/C=C/CCCN)O)O)N)Br,NC(=O)NNC(=O)C=CNC(=O)NC1C2=CCC=C2CC1CCBr,171400804
600,C1CNCCC1/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1NC(=O)NC(=O)NC1CC(=O)NCc1ccc2c(c1)C=C(Br)C2N,163239321
650,C1CC(CNC1)/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CC1(C)C(CN)C1NC(=O)Nc1c(-c2cccc(Br)c2)[nH]c(=O)[nH]c1=O,163239348
700,C1CNCC1/C=C/[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,CCC(NC(=O)Nc1cccc(Br)c1NC(N)=O)C(=O)NC1CC1C,163239335
750,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CCNC6)F)O)C=C1,Cc1ccc2nc3[nH]c(=O)n(CCC(C)NC(=O)C=Cc4c[nH]c(=N)nc4C(C)F)c(=O)c3cc2c1,166629977
800,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)O)O)C=C1,NCCC(=O)N1CCCC(c2noc(-c3cnn(-c4ccccc4)c3NC(=O)NC3CCCOC3)n2)C1,156327795
850,CCC1=CC(=C2C=CC(=CC2=N1)CCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)NCCCN(C)C,C=CC(=CC)CNc1cc(-c2nc(NC)cnc2-c2cccc(NCc3nc(=C)c(=C)n3C)c2)ccn1,156303953
900,C1=CC2=NC(=CN2C=C1)CNCC3=CC4=C(N3)C=C(C=C4)CNC(=O)C5=CC(=O)N6C=CC=CC6=N5,COc1cccc(-c2cccc3c(-c4cccc(NC(=O)N5CCc6n[nH]c(C)c6C5)c4)nnn23)c1,156461944
950,CNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCN(CC6)C)C=C1,CC(=C(Nc1ccc(C)cc1)C(=O)NCc1nncn1Nc1ccccc1)c1nn(C)c2ccccc12,156303966
1000,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCN(C6)C)F)O)C=C1,CCC(C)CC1(NC(C)NC)C(=O)Nc2ccc(-c3nc(CNC(=O)Nc4cccc(F)c4)no3)cc21,156327027
1050,CNC1=NC2=C(S1)C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,Nc1c(-c2nnc(CN3C(=O)NC4(CC5CCCCCN5C4)C3=O)s2)cnn1-c1cccc(O)c1,166625996
1100,CS(=O)(=O)C1=CN(C2=NC=NC(=C12)N)C3=CN=CC(=C3)COC4=CC5=C(C=C4)C=CC(=N5)N6CCC6,Cc1ccc(Nc2cccc(NC(=O)c3ccc4nnn(CCC[SH](=O)=O)c5nccc3c45)c2)cn1,156304175
1150,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CN=CC=C6)F)O)C=C1,CCCc1nc(-c2c(NC(=O)c3nc(C4CCCOC4)[nH]c3C3CC3)[nH]c(=O)c3ccccc23)n[nH]1,156327011
1200,CNC1=NC2=C(C=C1)SC(=C2)CC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,CN(Cc1nnc(-c2ccc(F)cc2)s1)C(=O)c1nnc(NCC2CCCC3CCCC32)n(N)c1=O,156326961
1250,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=C(C3=C(N=CN=C32)N)Br)O)O)C4=CC5=C(C=C4)NC(=C5)CNCC67CC(C6)(C7)F,Cc1ccc(NC(=O)NC2CCCC2=CNc2ccc(Br)cc2)cc1NC(=O)C1NC2=C(F)C1CN2,163239244
1300,C1C2CC3CC1CC(C2)(C3)NCC4=CC5=C(N4)C=C(C=C5)CNC(=O)C6=CC(=O)N7C=CC=CC7=N6,CC1=C(C(=O)Nc2cccnc2C)C(c2ccc(C=CC(=O)c3cccc4c3N(C)CC4)cc2)NN1,156461941
1350,CC1(CCN(CC1)CC2=CC=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=C6C=CNC6=NC=C5)C,CC(C)Nc1ncccc1C(=O)N1CC=C(C2=CC(=Cc3cccnc3)NC2N2CCCCC2)CC1,166630951
1400,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C(C6CC6)O)O)O)C=C1,CC(=O)c1cc(NC(=O)CNC(=O)NNC(=O)C2CCCc3ccccc32)cc2c1NC(C)NC2=O,166636129
1450,CC(C)C1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)C(=N1)NCCN(C)C,CCc1ccc(NN=CC=Cc2ccc(NC(=O)c3nnn(-c4n[nH]c(C5CCC5)n4)c3C)cc2)cc1,166633930
1500,CNC1=NC2=C(C=CC(=C2)CC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)O)O)C=C1,Cn1nc2c(c1CCC(=O)NC1c3ccccc3CC1CN)CN(C(=O)Nc1ccccc1O)CC2,156327010
1550,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CC=CC=N6)F)O)C=C1,CC1(CF)CC2Cc3c(C=NN=c4[nH]cc(C(=O)Nc5cccc(C#N)c5)c(=O)[nH]4)c[nH]c3CC2CO1,156326989
1600,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CC=NN6C)F)O)C=C1,CC1(CNC(=O)Nc2ccc(Nc3ccc(CF)cc3)n3nccc23)NC(=O)N(Cc2ccc[nH]2)C1=O,166632588
1650,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CC=NN6)F)O)C=C1,Cc1nc2c(nc1C1NC(=O)C(C)N1)-c1c(cc(C(=O)NNC(=O)c3ccccc3F)n1C)C(N)C2,156327050
1700,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)N6CCN(CC6)C,CC=CCNCc1ccc(C(=O)N2CCc3c2ccc2nc(Cc4ccccc4C)[nH]c32)c2nnnn12,156304136
1750,CCNC1=NC2=C(C=CC(=C2)CCC3=CN=CC(=N3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)C=C1,Cc1cc(-c2n[nH]c(NC(C)C(C)n3c(=O)c(-c4ccncc4)nc4ccccc43)n2)cc(C)c1N,156304058
1800,CNC1=NC2=C(C=CC(=C2)CC[C@H]3C[C@H]([C@@H]([C@@H]3O)O)N4C=C(C5=C(N=CN=C54)N)C6CCCCC6)C=C1,O=C(Nc1cncc2ccccc12)NC1CCN(Cc2ccc(C(O)C3CC3)cc2)CC1c1ncc[nH]1,166630828
1850,CCNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)O)O)C=C1,CC1CCCC(c2nc3ccc(NC(=O)CCNC(=O)N4c5ccccc5NC(=O)C4C)cc3[nH]2)C1,156327794
1900,C1CCC(C1)C2=CN(C3=NC=NC(=C23)N)[C@H]4[C@@H]([C@@H]([C@H](O4)COC5=CC6=C(C=C5)C(=CC(=N6)N)N)O)O,CC(N)C1(C)CCC(NC(=O)Nc2ccc(CNC(=O)NC(=O)c3cnc(C4CC4)[nH]3)cc2)CC1O,166630025
1950,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CNC(=O)CC5=NC(=CC=C5)N6CCC6,CC=Nc1nc(Nc2nnc(Nc3ccc4c(c3)c3c(n4C)=CCCC=3)n2CCO)nc2cnccc12,156304129
2000,CCC1=NC2=C(N1)C=C(C=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,CC1CC(N)CN1C(=NC(=O)N1CC(=O)Nc2ccc(F)cc21)NCc1nc2ccc(CO)cc2[nH]1,156326964
2050,CNC1=NC2=C(C=CC(=C2)OCC3=NC=C(S3)N4C=C(C5=C(N=CN=C54)N)Cl)C=C1.C(=O)(C(F)(F)F)O,Cc1cccc(F)c1NC(=O)NNc1nc(C)c(CN(C)C(=O)Nc2cc(CC(F)(F)Cl)[nH]c(=O)c2)s1,166632950
2100,CC(C)C1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)C(=C1)N,CCNc1ccc(Cc2ccc(NCCc3ccc(C)cc3Nc3cc(C)c4cc[nH]c4n3)nn2)cc1,156304034
2150,CC1(CCN(CC1)CC2=CC=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=CC(=NC=N5)N(C)C)C,CC1=CCCN=CC=C1n1nc(C(C)(C)C)cc1NC1CCN(C(=O)c2nn(C)c3c2CCCC3)C1,166627134
2200,CC1(CCN(CC1)CC2=C(C=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=NC=NC(=C5)NC)F)C,CC=C1NCCN(C(C)CNC(=O)Nc2c(C)nn(-c3ccccc3)c2C)CCN(C)C=CC=C1F,156587345
2250,CC1(CCN(CC1)CC2=CC=C(C=C2)N3CC(=O)N(C4(C3)CCN(CC4)C5=NC=NC(=C5)NC)C)C,Cc1cc(C)cc(-n2nc(C(=O)NCCN3C=C4C=NN=C4C4C3=CCCN4C)cc2C)c1,156596355
2300,CC(C)NC1=CC(=NC=N1)N2CCC3(CC2)CN(CC(=O)N3)C4=CC=C(C=C4)CN5CCC(CC5)(C)C,C=CC(=CC)c1ncc(CNC(=O)NCc2c(C)cc(C)nc2N2CCCCC2)nc1C1CCCN1C,156596353
2350,CC1(CCN(CC1)CC2=CC(=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=NC=NC(=C5)NC)F)C,Cc1c2c(nn1-c1ccccc1)C(=O)NCCNC(C)CC=NC(=CCN1CCCC1)CN(C)C2,156587344
2400,CC1(CCN(CC1)CC2=CC=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=NC(=NC6=C5C=CN6)Cl)C,Cc1cccc(-c2cc(NC(=O)N3CCC(C)CC3)n(Cc3cc4c(cc3Cl)N3C(=NCC3C)N4)n2)c1,156596356
2450,CC1(CCN(CC1)CC2=CC=C(C=C2)N3CC(=O)NC4(C3)CCN(CC4)C5=NC=NC6=C5C=CN6)C,CNC1=NN2C(=Nc3cc(C(=O)N(Cc4ccc(C)cc4)c4ccc(C)cc4)ccn3)NCCC2C1,156596354
2500,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)N,CCc1nc2cccc3nc(C(C#N)=Cc4cc(NC(=O)NC5CCCCC5)ccc4C)[nH]c(n1)c23,166039044
2550,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CN(N=C6)C)F)O)C=C1,Cc1nn(CC(NC(=O)Nc2n[nH]c3nccc(OCCO)c23)c2cccc(F)c2)c2c1N(C)CCC2,156326991
2600,C1C[C@H](OC1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,N#Cc1cccc2c1CCN(C(=O)Cn1c(C3CCN(C(=O)Nc4cc[nH]c4)C3)nc3ccccc31)C2,156304160
2650,CCC1=CC(=O)C2=C(N1)C=C(C=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6,CN(CCCCn1cnc2c3c(ccc21)NC(=O)NC(C(=O)Nc1ccccc1)=C3)c1ccccc1,156304101
2700,CCNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)C=C1,C=CCN(C)c1nc(NC(=O)N2CCNc3[nH]ncc32)nc(-c2ccc3c(c2)Cc2ccc(C)cc2-3)n1,156303946
2750,CCC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)C=C1,Cc1ccc2nc3nnc(NC(CNC(=O)c4cc(C)c5ccccn45)c4ccccc4)nc3n2c1,156304082
2800,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=C(C3=C(N=CN=C32)N)F)O)O)C4=CC5=C(C=C4)C=C(N5)CNCC67CC(C6)(C7)F,CCc1cc(NC(=O)NC(C)(CC(C)c2ccc(F)c(F)c2)C(N)=O)ccc1NC1Nc2ccc1[nH]2,163239333
2850,CCC1=NC2=C(O1)C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,COc1cc(NC(=O)c2cccc(NC(=O)c3nn(-c4nc[nH]n4)cc3C)c2)c2c(c1)C(F)OC=C2,164570053
2900,CCNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)C=C1,Cc1cc(NC(=O)Nc2c(C)n[nH]c2C)c(N2CCc3cc4c(cc3C2=O)Cc2c[nH]nc2-4)cc1C,156304039
2950,CNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=CC=NN6C)C=C1,CCNc1cc(NC(=O)c2c(C)cccc2-c2nc3nc4nc(CC)nn4c(C)c3[nH]2)ccc1C#N,156304176
3000,CN1C=CN=C1C2=NC3=C(C=CC(=C3)OC[C@@H]4[C@H]([C@@H]([C@@H](O4)N5C=C(C6=C(N=CN=C65)N)Br)F)O)C=C2,CC(C(=O)Nc1ccc(N)cc1O)N(C)C(=O)Nc1cc(Br)cnc1-c1nc2cc(F)ccc2n1C,166628364
3050,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NC=CO6)F)O)C=C1,COCc1[nH]cc(F)c1NC(=O)CCn1c(=O)[nH]c2nc(N(C)C(=O)NCC3CCCC3C)ccc21,156326963
3100,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)C6=NC=CO6)N,CCc1n[nH]c(-c2ccc(NC(=O)NCc3nc4ccc(-c5cn(C)nc5C)cc4c(=O)[nH]3)cc2)n1,156304157
3150,CC1=CC=C(O1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)NC,C=c1nc(C)c2c(NC(=O)c3cc(CNC(=O)NCCc4ccccc4)[nH]n3)ccc3c2c1cn3C,156731623
3200,CCNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)C=C1,Cc1nc(-c2nnn(-c3ccc(CNc4cnccc4-c4ccccn4)cc3)c2C2CC2)[nH]c1C=CN,156304135
3250,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CNC(=O)NC5=NC(=CC=C5)N6CCC6,Cc1ccc(-c2cc(Cn3c(CN4CCc5c([nH]c6n[nH]c(NN=O)c56)C4)nc(C#N)c3C)[nH]n2)cc1,156296258
3300,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)NCCN(C)C,CC(=Cc1cnc[nH]1)n1nc(CNc2ccccc2CNC(=O)Nc2cccc3c2CCC3)nc1C,156303987
3350,CCNC1=NC2=C(C=CC(=C2)CCC3=CN=CC(=N3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)C=C1,O=C(Nc1cccc(-c2cccnc2)n1)c1nc(NCCC2CCc3c2ccc2c3CCC2)n[nH]1,156304055
3400,CN1C=CC(=N1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC(=C(C=C5)C(=O)N(C)C)N,O=C1CC(c2ccc(C(=O)Nc3ccc4nc(-c5ccc(Cn6cnnc6)nc5)[nH]c4c3)cc2)=NN1,156304167
3450,C1CC(OC1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)CCC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,CCNc1nc(-c2ccccc2C(=O)N2CCCCC2c2cccc(-c3ncc4c(n3)CCC4)c2)n[nH]1,156303961
3500,CCC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)C(=C1)C,Cc1ncccc1NC(=O)NCc1cnn(C(C)c2ccccc2Oc2ccc3c(c2)CNC3)c1C,156304111
3550,CCNC1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)C=C1,Cc1nn[nH]c1C(=O)N(CCC(=O)Nc1ccc(C2NC(C)c3ccccc32)cc1)c1cccnc1,156304153
3600,C1CCC(C1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,CN=c1ccccn1-c1ccccc1NCc1ccc(NC(=O)Cc2cc(=NC3CC3)[nH]nc2C)cc1,156304007
3650,CC(C)C1=NC2=C(C=CC(=C2)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)C(=C1)N6CCNCC6,Cc1nc(-n2ccc(C=CC(=O)NC(C)c3nc4n(n3)-c3ccccc3CCC4)c2)c2nc[nH]c2c1C,156303947
3700,CCNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)C=C1,CC1CCCc2cc(NC(=O)c3nc(Nc4ccc5c(c4)CCCN5)n4c(C#N)ccc4n3)ccc21,156304092
3750,CNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)C=C1,CC1CN(c2ccccc2Nc2ncccn2)Cc2nc(-c3cccnc3Nc3ccccc3)nn21,156296281
3800,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)OC,O=C1Nc2c(cccc2C(=O)NCCc2nnc(-c3cnn(-c4ccccc4)c3)o2)Cc2ccccc21,166633993
3850,C1CC(OC1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=CC(=N6)N7CCC7)N=C5,CCc1ncc(NC(=O)Nn2c(C(C)N3CCc4cn(C)nc4C3)nc3ccccc32)c2c1C=COC2,156304066
3900,CCNC1=NC2=C(C=CC(=C2)CCC3=CC(=CN=C3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)C=C1,CCN1C(=O)c2c(cnc3c(NCc4nc(C)c5ccccc5n4)c[nH]c23)NC1(C)c1ccccc1,166635474
3950,CCC1=CC(=C2C=CC(=CC2=N1)OCC3=CC(=CN=C3)N4C=CC5=C(N=CN=C54)N)N6CCOCC6,Cn1cnc(-c2nc(-c3ccc(NC(=O)c4ccncc4)cc3)ncc2C(=O)Nc2ccccc2)c1,156304137
4000,C1C[C@@H](OC1)C2=CN(C3=NC=NC(=C23)N)C4=CN=CC(=C4)COC5=CC6=C(C=C5)C=CC(=N6)N7CCC7,Cc1cc(CNc2ncccc2C2c3nc4ccccc4nc3CN2C(=O)COc2ccccc2)[nH]n1,156304161
4050,C1[C@@H]([C@H]([C@H]([C@@H]1N2C=C(C3=C(N=CN=C32)N)Cl)O)O)C4=CC5=C(C=C4)C=C(N5)CNCC67CC(C6)(C7)F,C=Cc1c(F)cc2c3c1C=CC(C)NC3CC2NC(=O)NNC(=O)C(C)Nc1cc(Cl)ccc1C#N,163239308
4100,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)[C@@H]6CCCO6)F)O)C=C1,CC1=Cc2c(NC(=O)NC3CN(C(=O)Nc4ccncc4)CCC3C)cc3c(c2OC1F)OCCN3,166626031
4150,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)F)O)C=C1,Cc1cc2c(=O)[nH]c(=Nc3ccc(NC(=O)N4CCCC5(CO)CC45)cc3)[nH]c2cc1CCCNF,156327072
4200,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)[C@H]6CCCO6)F)O)C=C1,CC(=O)n1nccc1NC(=O)C1CCC12C(=O)Nc1cccc(NC(=O)Nc3cc(F)ccc3C)c12,156326966
4250,CNC1=NC2=C(N1)C=C(C=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,O=C(NCCCC(F)c1cc[nH]n1)N1CCC(C(=O)N(Cc2nnno2)c2cccc3cc[nH]c23)C1,156327008
4300,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)CC6CCCC6)O)O)C=C1,CCCC1CCC1(C)C(=O)Nc1c(C)cc(NC(=O)Cn2c(=O)[nH]c3n[nH]c(C4CC4)c3c2=O)cc1C,166630927
4350,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCCC6)O)O)C=C1,CCNC(=O)Nc1ccc(NC(=O)NCC2CC2c2ccc3c(c2)CCC(N)C3)c2c1CC(=O)NC2=O,156327791
4400,CN(C)CC1=CN(C2=NC=NC(=C12)N)[C@H]3[C@H]([C@@H]([C@H](O3)COC4=CC5=C(C=C4)C=CC(=N5)N6CCC6)O)F,CCc1cc(F)ccc1-n1cnc(NC(=O)C2CC(=O)N(C3CC(CO)Cc4[nH]c5c(c43)=CCN=5)C2)n1,166634009
4450,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)O)O)C=C1,CC1(NC(=O)Nc2ccc3c(c2)Nc2ccccc2O3)C(=O)NC(C2CCCC2)N(CCCN)C1=O,156296130
4500,CNC1=NC2=C(C=CC(=C2)CC[C@H]3C[C@H]([C@@H]([C@@H]3O)O)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)C=C1,Cc1n[nH]c(CN(Cc2ccc(C3CCCCC3CN)c(O)c2)C(=O)NC(C)c2ccccc2C)n1,166634784
4550,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O)C=C1,Cc1nc(CNC(=O)NCC(CC(C)NC(=O)c2ccc(C)c(F)c2)c2ccc3nn[nH]c3c2)no1,156326992
4600,CN(C)C1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6CCCC6)O)O)C=C1,CC(NC(=O)c1ccccc1)C(=O)NCc1ccccc1NC(=O)NC(=O)N1CCC2C(C)C1CN2C,156327005
4650,CNC1=NC2=C(C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=CN(C=N6)C)F)O)C=C1,Cc1nc2[nH]c(=O)c(C=NCC(C)N3C(=O)C(C)(c4cccnc4)NC(=O)c4cn[nH]c43)cc2cc1F,156327117
4700,CNC1=NC2=C(O1)C=CC(=C2)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O,Cn1cc(CNC(=O)C2C=C(c3cnccn3)NN2C(=O)Nc2ccc3c(c2)OC(CF)C3)c(O)n1,166636244
4750,CCC1=CC(=C2C=CC(=CC2=N1)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)N4C=C(C5=C(N=CN=C54)N)C6=NN(C=C6)C)F)O)N,CCC(NC(=O)N=c1[nH]c2nccc(F)c2[nH]1)C(=O)N1CC(CCO)c2cc3c(cc21)CC(C)NC3,164570055
